Question,Answer,Category,Difficulty
What is a variable in programming? (Q1),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Difference between frontend and backend? (Q2),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is a web framework? (Q3),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is HTML? (Q4),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is the difference between SQL and NoSQL? (Q5),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is the use of CSS? (Q6),CSS is used to style and layout web pages.,General,Easy
What is two-factor authentication? (Q7),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Define a firewall. (Q8),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What are data types in programming? (Q9),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Explain polymorphism in OOP. (Q10),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is machine learning? (Q11),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is HTML? (Q12),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain the concept of recursion. (Q13),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is SQL used for? (Q14),SQL is used for managing and manipulating relational databases.,Databases,Easy
What are data types in programming? (Q15),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is a brute force attack? (Q16),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is a primary key in a database? (Q17),A primary key uniquely identifies each record in a table.,General,Easy
What is HTML? (Q18),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Define a firewall. (Q19),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is two-factor authentication? (Q20),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Define a firewall. (Q21),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is phishing? (Q22),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a web framework? (Q23),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is the use of CSS? (Q24),CSS is used to style and layout web pages.,General,Easy
